antibody,ensembl_ids,gene_names,atlas_name,locations,n_location
HPA045028,ENSG00000087365,SF3B2,U-2 OS,Nuclear speckles,1
HPA064660,ENSG00000143368,SF3B4,U-2 OS,Nuclear speckles,1
HPA039362,ENSG00000061936,SFSWAP,U-2 OS,"Nucleoplasm,Plasma membrane",2
HPA076219,ENSG00000142669,SH3BGRL3,U-2 OS,Nuclear bodies,1
HPA006539,"ENSG00000059804,ENSG00000173262","SLC2A14,SLC2A3",U-2 OS,Plasma membrane,1
HPA061702,ENSG00000177058,SLC38A9,U-2 OS,Vesicles,1
HPA029321,ENSG00000144028,SNRNP200,U-2 OS,Nucleoplasm,1
HPA029234,ENSG00000168566,SNRNP48,U-2 OS,"Cytosol,Nucleoplasm",2
HPA045622,ENSG00000131876,SNRPA1,U-2 OS,Nuclear speckles,1
CAB009610,ENSG00000125835,SNRPB,U-2 OS,Nucleoplasm,1
HPA067842,"ENSG00000125835,ENSG00000128739","SNRPB,SNRPN",U-2 OS,Nucleoplasm,1
HPA050814,ENSG00000125870,SNRPB2,U-2 OS,Nuclear speckles,1
HPA050814,ENSG00000125870,SNRPB2,U-2 OS,Nuclear speckles,1
CAB009931,ENSG00000100603,SNW1,U-2 OS,Nucleoplasm,1
HPA070710,ENSG00000117614,SYF2,U-2 OS,Nuclear speckles,1
HPA029824,ENSG00000137574,TGS1,U-2 OS,Cytosol,1
HPA053385,ENSG00000006042,TMEM98,U-2 OS,Nucleoplasm,1
HPA053775,ENSG00000132773,TOE1,U-2 OS,Nucleoplasm,1
HPA050061,ENSG00000116525,TRIM62,U-2 OS,"Focal adhesion sites,Vesicles",2
HPA058763,ENSG00000184281,TSSC4,U-2 OS,Nucleoplasm,1
HPA038253,ENSG00000113638,TTC33,U-2 OS,Nucleoplasm,1
HPA037545,ENSG00000163714,U2SURP,U-2 OS,Nucleoplasm,1
HPA050094,ENSG00000139668,WDFY2,U-2 OS,Vesicles,1
HPA042838,ENSG00000123154,WDR83,U-2 OS,Vesicles,1
HPA048751,ENSG00000076924,XAB2,U-2 OS,"Nucleoplasm,Vesicles",2
HPA055675,ENSG00000105248,YJU2,U-2 OS,Nucleoplasm,1
HPA050311,ENSG00000204186,ZDBF2,U-2 OS,Nucleoplasm,1
HPA055357,ENSG00000165156,ZHX1,U-2 OS,Nucleoplasm,1
HPA027211,ENSG00000198783,ZNF830,U-2 OS,Nucleoplasm,1
