filename,if_plate_id,position,sample,status,locations,antibody,ensembl_ids,gene_names
/archive/1234/1234_C9_2_,1234,C9,2,35,"Endoplasmic reticulum,Nuclear membrane",HPA065685,"ENSG00000105583,ENSG00000269590","AC010422.5,WDR83OS"
/archive/1234/1234_C9_5_,1234,C9,5,35,"Endoplasmic reticulum,Nuclear membrane",HPA065685,"ENSG00000105583,ENSG00000269590","AC010422.5,WDR83OS"
/archive/1250/1250_B3_2_,1250,B3,2,35,Nucleoplasm,HPA067842,"ENSG00000125835,ENSG00000128739","SNRPB,SNRPN"
/archive/1250/1250_B3_3_,1250,B3,3,35,Nucleoplasm,HPA067842,"ENSG00000125835,ENSG00000128739","SNRPB,SNRPN"
/archive/1257/1257_C10_3_,1257,C10,3,35,"Cytosol,Nucleoplasm",HPA061548,ENSG00000104983,CCDC61
/archive/1257/1257_C10_4_,1257,C10,4,35,"Cytosol,Nucleoplasm",HPA061548,ENSG00000104983,CCDC61
/archive/1264/1264_A12_1_,1264,A12,1,35,Plasma membrane,HPA064625,ENSG00000170915,PAQR8
/archive/1264/1264_A12_3_,1264,A12,3,35,Plasma membrane,HPA064625,ENSG00000170915,PAQR8
/archive/1351/1351_E6_2_,1351,E6,2,35,Mitochondria,HPA070386,ENSG00000090857,PDPR
/archive/1351/1351_E6_4_,1351,E6,4,35,Mitochondria,HPA070386,ENSG00000090857,PDPR
/archive/1352/1352_E10_1_,1352,E10,1,35,Vesicles,HPA068394,ENSG00000162073,PAQR4
/archive/1352/1352_E10_2_,1352,E10,2,35,Vesicles,HPA068394,ENSG00000162073,PAQR4
/archive/1367/1367_G9_1_,1367,G9,1,35,Nuclear speckles,HPA070710,ENSG00000117614,SYF2
/archive/1367/1367_G9_2_,1367,G9,2,35,Nuclear speckles,HPA070710,ENSG00000117614,SYF2
/archive/1436/1436_F10_2_,1436,F10,2,35,"Cytosol,Vesicles",HPA070409,ENSG00000109618,SEPSECS
/archive/1436/1436_F10_4_,1436,F10,4,35,"Cytosol,Vesicles",HPA070409,ENSG00000109618,SEPSECS
/archive/1445/1445_F11_2_,1445,F11,2,35,Golgi apparatus,HPA050111,ENSG00000189114,BLOC1S3
/archive/1445/1445_F11_3_,1445,F11,3,35,Golgi apparatus,HPA050111,ENSG00000189114,BLOC1S3
/archive/1457/1457_F9_2_,1457,F9,2,35,Nuclear bodies,HPA061568,ENSG00000173093,CCDC63
/archive/1457/1457_F9_3_,1457,F9,3,35,Nuclear bodies,HPA061568,ENSG00000173093,CCDC63
/archive/1468/1468_A10_4_,1468,A10,4,35,Nucleoplasm,HPA040624,ENSG00000021776,AQR
/archive/1468/1468_A10_6_,1468,A10,6,35,Nucleoplasm,HPA040624,ENSG00000021776,AQR
/archive/1479/1479_E4_1_,1479,E4,1,35,"Nucleoplasm,Vesicles",HPA048751,ENSG00000076924,XAB2
/archive/1479/1479_E4_2_,1479,E4,2,35,"Nucleoplasm,Vesicles",HPA048751,ENSG00000076924,XAB2
/archive/1515/1515_C10_1_,1515,C10,1,35,"Nuclear bodies,Nucleoplasm",HPA069119,ENSG00000132773,TOE1
/archive/1515/1515_C10_2_,1515,C10,2,35,"Nuclear bodies,Nucleoplasm",HPA069119,ENSG00000132773,TOE1
/archive/1542/1542_C7_1_,1542,C7,1,35,Nucleoplasm,HPA073758,ENSG00000163605,PPP4R2
/archive/1542/1542_C7_3_,1542,C7,3,35,Nucleoplasm,HPA073758,ENSG00000163605,PPP4R2
/archive/1614/1614_E11_1_,1614,E11,1,35,Nuclear bodies,HPA076219,ENSG00000142669,SH3BGRL3
/archive/1614/1614_E11_2_,1614,E11,2,35,Nuclear bodies,HPA076219,ENSG00000142669,SH3BGRL3
/archive/1617/1617_E5_1_,1617,E5,1,35,Nuclear speckles,HPA019357,ENSG00000084072,PPIE
/archive/1617/1617_E5_2_,1617,E5,2,35,Nuclear speckles,HPA019357,ENSG00000084072,PPIE
/archive/1674/1674_C1_1_,1674,C1,1,35,Vesicles,HPA077525,ENSG00000188428,BLOC1S5
/archive/1674/1674_C1_2_,1674,C1,2,35,Vesicles,HPA077525,ENSG00000188428,BLOC1S5
/archive/1692/1692_C7_13_,1692,C7,13,35,Vesicles,HPA076729,ENSG00000137819,PAQR5
/archive/1692/1692_C7_17_,1692,C7,17,35,Vesicles,HPA076729,ENSG00000137819,PAQR5
/archive/1741/1741_E7_8_,1741,E7,8,35,Centriolar satellite,HPA057573,ENSG00000139537,CCDC65
/archive/1741/1741_E7_18_,1741,E7,18,35,Centriolar satellite,HPA057573,ENSG00000139537,CCDC65
/archive/1772/1772_E8_4_,1772,E8,4,35,Nuclear speckles,HPA059070,ENSG00000110107,PRPF19
/archive/1772/1772_E8_6_,1772,E8,6,35,Nuclear speckles,HPA059070,ENSG00000110107,PRPF19
/archive/1773/1773_E3_3_,1773,E3,3,35,Nuclear speckles,HPA038051,ENSG00000110107,PRPF19
/archive/1773/1773_E3_7_,1773,E3,7,35,Nuclear speckles,HPA038051,ENSG00000110107,PRPF19
/archive/1869/1869_F11_14_,1869,F11,14,35,Nuclear speckles,HPA076104,ENSG00000125870,SNRPB2
/archive/1869/1869_F11_14_,1869,F11,14,35,Nuclear speckles,HPA076104,ENSG00000125870,SNRPB2
/archive/1869/1869_F11_18_,1869,F11,18,35,Nuclear speckles,HPA076104,ENSG00000125870,SNRPB2
/archive/1869/1869_F11_18_,1869,F11,18,35,Nuclear speckles,HPA076104,ENSG00000125870,SNRPB2
/archive/1884/1884_C12_2_,1884,C12,2,35,Nucleoplasm,HPA017370,ENSG00000100603,SNW1
/archive/1884/1884_C12_13_,1884,C12,13,35,Nucleoplasm,HPA017370,ENSG00000100603,SNW1
/archive/1884/1884_G11_50_,1884,G11,50,35,Nucleoplasm,HPA002457,ENSG00000100603,SNW1
/archive/1884/1884_G11_53_,1884,G11,53,35,Nucleoplasm,HPA002457,ENSG00000100603,SNW1
/archive/1888/1888_B2_1_,1888,B2,1,35,"Nucleoli fibrillar center,Nucleoplasm",HPA005792,ENSG00000183036,PCP4
/archive/1888/1888_B2_4_,1888,B2,4,35,"Nucleoli fibrillar center,Nucleoplasm",HPA005792,ENSG00000183036,PCP4
/archive/1890/1890_D5_5_,1890,D5,5,35,"Cytosol,Nucleoplasm",HPA078403,ENSG00000185246,PRPF39
/archive/1890/1890_D5_21_,1890,D5,21,35,"Cytosol,Nucleoplasm",HPA078403,ENSG00000185246,PRPF39
/archive/1893/1893_N3_11_,1893,N3,11,35,"Nuclear speckles,Nucleoplasm",HPA002568,ENSG00000100796,PPP4R3A
/archive/1893/1893_N3_24_,1893,N3,24,35,"Nuclear speckles,Nucleoplasm",HPA002568,ENSG00000100796,PPP4R3A
/archive/1901/1901_D17_1_,1901,D17,1,35,Cytosol,HPA073963,ENSG00000125877,ITPA
/archive/1901/1901_D17_2_,1901,D17,2,35,Cytosol,HPA073963,ENSG00000125877,ITPA
/archive/1913/1913_C16_2_,1913,C16,2,35,Golgi apparatus,HPA010969,ENSG00000169193,CCDC126
/archive/1913/1913_C16_6_,1913,C16,6,35,Golgi apparatus,HPA010969,ENSG00000169193,CCDC126
/archive/2014/2014_D1_3_,2014,D1,3,35,"Nucleoplasm,Vesicles",HPA022824,ENSG00000125877,ITPA
/archive/2014/2014_D1_4_,2014,D1,4,35,"Nucleoplasm,Vesicles",HPA022824,ENSG00000125877,ITPA
